1657806535.038634 client started (72235): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1657806535.038683 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1657806535.038705 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1657806535.042094 sending message 105 to peer 0x7fdb30008000 (32 bytes)
1657806535.042100 sending message 105 to peer 0x7fdb30008000 (61 bytes)
1657806535.042106 sending message 105 to peer 0x7fdb30008000 (8 bytes)
1657806535.042112 sending message 105 to peer 0x7fdb30008000 (52 bytes)
1657806535.042118 sending message 105 to peer 0x7fdb30008000 (88 bytes)
1657806535.042124 sending message 105 to peer 0x7fdb30008000 (27 bytes)
1657806535.042130 sending message 105 to peer 0x7fdb30008000 (25 bytes)
1657806535.042136 sending message 105 to peer 0x7fdb30008000 (22 bytes)
1657806535.042142 sending message 106 to peer 0x7fdb30008000 (0 bytes)
1657806535.042160 sending message 200 to peer 0x7fdb30008000 (4 bytes)
1657806535.042167 client loop enter
1657806535.044798 peer 0x7fdb30008000 message 207
1657806535.044823 sending message 208 to peer 0x7fdb30008000 (0 bytes)
1657806537.449754 peer 0x7fdb30008000 message 203
1657806537.449779 sending message 205 to peer 0x7fdb30008000 (0 bytes)
1657806537.450041 peer 0x7fdb30008000 message 204
1657806537.450057 client loop exit
